Subj,Crs,Sect,Title,Start,Time,Days,Room,Lab,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,01,ORGANIC CHEMISTRY,09/25/2023,07:30 AM-10:20 AM,MW,SC2210,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,02,ORGANIC CHEMISTRY,09/25/2023,10:30 AM-11:45 AM,MW,S32,N,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,02,ORGANIC CHEMISTRY,09/25/2023,02:30 PM-05:20 PM,MW,SC2210,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,03,ORGANIC CHEMISTRY,09/25/2023,12:30 PM-01:45 PM,TTh,G7,N,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,03,ORGANIC CHEMISTRY,09/25/2023,08:30 AM-11:20 AM,TTh,SC2210,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,04,ORGANIC CHEMISTRY,09/25/2023,11:30 AM-12:45 PM,MW,S32,N,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,04,ORGANIC CHEMISTRY,09/25/2023,07:30 AM-10:20 AM,MW,SC2210,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,05,ORGANIC CHEMISTRY,09/25/2023,11:30 AM-12:45 PM,MW,S32,N,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,05,ORGANIC CHEMISTRY,09/25/2023,02:30 PM-05:20 PM,MW,SC2210,Y,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subj,Crs,Sect,Title,Start,Time,Days,Room,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,01Z,CALCULUS,09/25/2023,08:30 AM-09:20 AM,MTWTh,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,01Z,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,03,CALCULUS,09/25/2023,08:30 AM-10:45 AM,MW,S75,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,05,CALCULUS,09/25/2023,08:30 AM-10:45 AM,TTh,MLC270,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,07Y,CALCULUS,09/25/2023,09:30 AM-10:20 AM,MTWTh,G5,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,07Y,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,09Y,CALCULUS,09/25/2023,10:30 AM-11:20 AM,MTWTh,MLC112,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,09Y,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,11,CALCULUS,09/25/2023,11:00 AM-01:15 PM,MW,S45,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,13,CALCULUS,09/25/2023,11:00 AM-01:15 PM,TTh,S16,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,15Z,CALCULUS,09/25/2023,11:30 AM-12:20 PM,MTWTh,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,15Z,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,17Y,CALCULUS,09/25/2023,12:30 PM-01:20 PM,MTWTh,MLC113,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,17Y,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,20D,CALCULUS,09/25/2023,11:00 AM-01:15 PM,MW,S16,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,21,CALCULUS,09/25/2023,01:30 PM-03:45 PM,MW,MLC113,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,23,CALCULUS,09/25/2023,01:30 PM-03:45 PM,TTh,MLC260,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,25,CALCULUS,09/25/2023,04:00 PM-06:15 PM,MW,S45,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,27,CALCULUS,09/25/2023,04:00 PM-06:15 PM,TTh,MLC260,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,29Z,CALCULUS,09/25/2023,04:00 PM-06:15 PM,MW,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,31,CALCULUS,09/25/2023,06:30 PM-08:45 PM,TTh,MLC270,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,33Z,CALCULUS,09/25/2023,06:30 PM-08:45 PM,MW,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,35,CALCULUS,09/25/2023,06:30 PM-08:45 PM,MW,MLC270,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,61Z,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,62Z,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,63Z,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,MP1,CALCULUS,09/25/2023,11:00 AM-01:15 PM,MW,G10,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,MP1,CALCULUS,09/25/2023,11:00 AM-01:15 PM,TTh,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,MP2,CALCULUS,09/25/2023,01:30 PM-03:45 PM,MW,S42,,,,,,,,,,,,,,,,,,,,,
MATH,D001A,MP2,CALCULUS,09/25/2023,01:30 PM-03:45 PM,TTh,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001B,01Y,CALCULUS,09/25/2023,08:30 AM-09:20 AM,MTWTh,MLC113,,,,,,,,,,,,,,,,,,,,,
MATH,D001B,01Y,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001B,03Y,CALCULUS,09/25/2023,09:30 AM-10:20 AM,MTWTh,MLC113,,,,,,,,,,,,,,,,,,,,,
MATH,D001B,03Y,CALCULUS,09/25/2023,TBA,TBA,ONLINE,,,,,,,,,,,,,,,,,,,,,
MATH,D001B,05,CALCULUS,09/25/2023,08:30 AM-10:45 AM,MW,MLC260,,,,,,,,,,,,,,,,,,,,,
MATH,D001B,07Y,CALCULUS,09/25/2023,10:30 AM-11:20 AM,MTWTh,MLC105,,,,,,,,,,,,,,,,,,,,,
